docs\advanced-analytics\package-management\install-additional-python-packages-on-sql-server.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\rsql-devtut-tipamtbyfareamt.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\package-management\install-additional-r-packages-on-sql-server.md,Succeeded,Successful
docs\advanced-analytics\concepts\security.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\rsql-e2e-ssms-newobjects.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\common-issues-external-script-execution.md,Succeeded,Successful
docs\advanced-analytics\install\media\mls-931-installer-mssql13.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\python\media\sqlmls-python-client-revo.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\administration\monitor-sql-server-machine-learning-services-using-dynamic-management-views.md,Succeeded,Successful
docs\advanced-analytics\media\script-in-db-python2.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\media\rsql-keyscenario2.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\ref-r-microsoftml.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\rsql-sue-histogramresults.jpg,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\deepdive-create-and-run-r-scripts.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\select-pythontestdata.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-e2e-mapplot.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\demo-data-iris-in-sql.md,Succeeded,Successful
docs\advanced-analytics\administration\media\dmv-installed-packages-r.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\r-working-input-outputs-results-1.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\security\media\implied-auth-login3.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\media\script_in-db-r.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\what-is-sql-server-machine-learning.md,Succeeded,Successful
docs\advanced-analytics\tutorials\deepdive-load-data-into-memory-using-rximport.md,Succeeded,Successful
docs\advanced-analytics\r\sql-server-r-services.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\rsql-e2e-performanceplot.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-e2e-rxhistogramresult.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\quickstart-python-functions.md,Succeeded,Successful
docs\advanced-analytics\r\r-and-data-optimization-r-services.md,Succeeded,Successful
docs\advanced-analytics\media\index\logo_R.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\import-airlinedemosmall.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\quickstart-r-data-types-and-objects.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\quickstart-r-working-input-outputs-results-3.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\package-management\install-r-packages-with-tsql.md,Succeeded,Successful
docs\advanced-analytics\tutorials\sqldev-in-database-r-for-sql-developers.md,Succeeded,Successful
docs\advanced-analytics\python\ref-py-microsoftml.md,Succeeded,Successful
docs\advanced-analytics\media\index\logo_python.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\performance-case-study-r-services.md,Succeeded,Successful
docs\advanced-analytics\tutorials\deepdive-perform-chunking-analysis-using-rxdatastep.md,Succeeded,Successful
docs\advanced-analytics\r\r-server-standalone.md,Succeeded,Successful
docs\advanced-analytics\administration\extended-events.md,Succeeded,Successful
docs\advanced-analytics\install\media\2016setup-rserver-features.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-devtut-filelist.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\package-management\install-r-packages-standard-tools.md,Succeeded,Successful
docs\advanced-analytics\python\media\ready-to-install-python.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\sqldev-in-database-python-for-sql-developers.md,Succeeded,Successful
docs\advanced-analytics\r\media\2017setup-installation-page-mlsvcs.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\r-train-model-with-additional-output.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\administration\media\dmv-execution-statistics.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\install\media\rclient-rgui-r-prompt.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\media\configure-the-installation.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-basictut-plotresult-small.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\media\rclient-setup-scatterplot.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\python\media\powershell-python-exe.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-devtut-browsetables.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\quickstart-python-create-script.md,Succeeded,Successful
docs\advanced-analytics\package-management\create-a-local-package-repository-using-minicran.md,Succeeded,Successful
docs\advanced-analytics\r\data-exploration-and-predictive-modeling-with-r.md,Succeeded,Successful
docs\advanced-analytics\administration\resource-governor.md,Succeeded,Successful
docs\advanced-analytics\connect\loopback-connection.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\sqldev-python-filelist.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\deepdive-work-with-sql-server-data-using-r.md,Succeeded,Successful
docs\advanced-analytics\security\sql-server-launchpad-service-account.md,Succeeded,Successful
docs\advanced-analytics\media\create-workflows-using-r-in-sql-server\ssis-exec-F5-run.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\sqldev-operationalize-the-model.md,Succeeded,Successful
docs\advanced-analytics\tutorials\deepdive-custom-r-functions-using-rxexec.md,Succeeded,Successful
docs\advanced-analytics\install\media\2017setup-python-license.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\media\2017setup-features-page-mlsvr-rpy.PNG,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-basictut-scoringresults-smalldata.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\administration\media\dmv-performance-counters.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\walkthrough-create-data-features.md,Succeeded,Successful
docs\advanced-analytics\known-issues-for-sql-server-machine-learning-services.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\rsql-sue-complex-histogram.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\r-verify-package-install.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\python\media\jupyter-notebook-new-p3.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\python\python-libraries-and-data-types.md,Succeeded,Successful
docs\advanced-analytics\python\media\2017setup-installation-page-mlsvcs.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\install\sql-ml-component-commandline-install.md,Succeeded,Successful
docs\advanced-analytics\tutorials\media\rslq-basictut-coefficients.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\python-data-generated-output.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\tutorials\media\rsql-e2e-psscriptresults.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\python\media\jupyter-notebook-scatterplot.png,Skipped,Skipped - No tranformation required
docs\advanced-analytics\r\media\2017setup-installation-page-mlsvr.png,Skipped,Skipped - No tranformation required
